timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_signals;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;90.00;f14.0;1i_0;5.10;0;0.00;0.00;DEFAULT_VEHTYPE;15.10;502.00
0.00;270.00;f21.0;2i_0;5.10;0;0.00;0.00;DEFAULT_VEHTYPE;1004.90;518.00
0.00;0.00;f34.0;3i_0;5.10;0;0.00;0.00;DEFAULT_VEHTYPE;518.00;15.10
1.00;90.00;f14.0;1i_0;7.64;0;0.00;2.54;DEFAULT_VEHTYPE;17.64;502.00
1.00;270.00;f21.0;2i_0;6.77;0;0.00;1.67;DEFAULT_VEHTYPE;1003.23;518.00
1.00;0.00;f34.0;3i_0;6.54;0;0.00;1.44;DEFAULT_VEHTYPE;518.00;16.54
2.00;90.00;f12.0;1i_0;5.10;0;0.00;0.00;DEFAULT_VEHTYPE;15.10;502.00
2.00;90.00;f14.0;1i_0;12.73;0;0.00;5.08;DEFAULT_VEHTYPE;22.73;502.00
2.00;270.00;f21.0;2i_0;10.28;0;0.00;3.51;DEFAULT_VEHTYPE;999.72;518.00
2.00;0.00;f34.0;3i_0;9.94;0;0.00;3.40;DEFAULT_VEHTYPE;518.00;19.94
3.00;90.00;f12.0;1i_0;5.54;0;0.00;0.44;DEFAULT_VEHTYPE;15.54;502.00
3.00;90.00;f14.0;1i_0;19.70;0;0.00;6.98;DEFAULT_VEHTYPE;29.70;502.00
3.00;270.00;f21.0;2i_0;16.07;0;0.00;5.79;DEFAULT_VEHTYPE;993.93;518.00
3.00;270.00;f23.0;2i_0;5.10;0;0.00;0.00;DEFAULT_VEHTYPE;1004.90;518.00
3.00;0.00;f34.0;3i_0;14.98;0;0.00;5.04;DEFAULT_VEHTYPE;518.00;24.98
3.00;0.00;f34.1;3i_0;5.10;0;0.00;0.00;DEFAULT_VEHTYPE;518.00;15.10
3.00;180.00;f43.0;4i_0;5.10;0;0.00;0.00;DEFAULT_VEHTYPE;502.00;1004.90
4.00;90.00;f12.0;1i_0;8.51;0;0.00;2.97;DEFAULT_VEHTYPE;18.51;502.00
4.00;90.00;f14.0;1i_0;28.93;0;0.00;9.23;DEFAULT_VEHTYPE;38.93;502.00
4.00;270.00;f21.0;2i_0;23.86;0;0.00;7.80;DEFAULT_VEHTYPE;986.14;518.00
4.00;270.00;f23.0;2i_0;6.96;0;0.00;1.86;DEFAULT_VEHTYPE;1003.04;518.00
4.00;0.00;f34.0;3i_0;21.74;0;0.00;6.76;DEFAULT_VEHTYPE;518.00;31.74
4.00;0.00;f34.1;3i_0;7.09;0;0.00;1.99;DEFAULT_VEHTYPE;518.00;17.09
4.00;180.00;f43.0;4i_0;7.69;0;0.00;2.59;DEFAULT_VEHTYPE;502.00;1002.31
5.00;90.00;f12.0;1i_0;13.25;0;0.00;4.74;DEFAULT_VEHTYPE;23.25;502.00
5.00;90.00;f14.0;1i_1;40.36;0;0.00;11.43;DEFAULT_VEHTYPE;50.36;505.20
5.00;90.00;f14.1;1i_0;5.10;0;0.00;0.00;DEFAULT_VEHTYPE;15.10;502.00
5.00;270.00;f21.0;2i_0;34.20;0;0.00;10.34;DEFAULT_VEHTYPE;975.80;518.00
5.00;270.00;f23.0;2i_0;10.76;0;0.00;3.80;DEFAULT_VEHTYPE;999.24;518.00
5.00;0.00;f34.0;3i_0;30.69;0;0.00;8.94;DEFAULT_VEHTYPE;518.00;40.69
5.00;0.00;f34.1;3i_0;10.80;0;0.00;3.71;DEFAULT_VEHTYPE;518.00;20.80
5.00;180.00;f43.0;4i_0;11.75;0;0.00;4.05;DEFAULT_VEHTYPE;502.00;998.25
6.00;90.00;f12.0;1i_0;20.55;0;0.00;7.30;DEFAULT_VEHTYPE;30.55;502.00
6.00;90.00;f14.0;1i_1;53.18;0;0.00;12.81;DEFAULT_VEHTYPE;63.18;505.20
6.00;90.00;f14.1;1i_0;5.86;0;0.00;0.76;DEFAULT_VEHTYPE;15.86;502.00
6.00;270.00;f21.0;2i_0;46.43;0;0.00;12.23;DEFAULT_VEHTYPE;963.57;518.00
6.00;270.00;f23.0;2i_0;16.85;0;0.00;6.09;DEFAULT_VEHTYPE;993.15;518.00
6.00;270.00;f23.1;2i_0;5.10;0;0.00;0.00;DEFAULT_VEHTYPE;1004.90;518.00
6.00;0.00;f34.0;3i_0;41.08;0;0.00;10.39;DEFAULT_VEHTYPE;518.00;51.08
6.00;0.00;f34.1;3i_0;16.59;0;0.00;5.79;DEFAULT_VEHTYPE;518.00;26.59
6.00;0.00;f34.2;3i_0;5.10;0;0.00;0.00;DEFAULT_VEHTYPE;518.00;15.10
6.00;180.00;f43.0;4i_0;17.33;0;0.00;5.58;DEFAULT_VEHTYPE;502.00;992.67
6.00;180.00;f43.1;4i_0;5.10;0;0.00;0.00;DEFAULT_VEHTYPE;502.00;1004.90
7.00;90.00;f12.0;1i_0;29.20;0;0.00;8.65;DEFAULT_VEHTYPE;39.20;502.00
7.00;90.00;f14.0;1i_1;67.59;0;0.00;14.42;DEFAULT_VEHTYPE;77.59;505.20
